"Stanza_text","ST_Correct","Title","Author","Year","Copyrighted","Tipo de rima","Información métrica",
"el amor es la única llave que te abrirá las puertas del
cielo.
mira alma mía
en este profundo y pesado sueño
me veo sumido,
mira alma mía, mira
como mi cuerpo suspira
tratando de salir de este sueño
que me agota.
Vivo de ilusiones, a veces lloro
por no poder encontrar mi norte
pero te pido alma mía
que no abandones este cuerpo
que intentó llevar a cabo
los designios del señor,
un cuerpo soñador que sufre
en el frio helador y
ante el insoportable calor
pero al fin y al cabo
trata de cumplir la tarea que
Dios le encomendó.
Mira alma mía, mira este
cuerpo desnudo, que escribe,
llora, ríe, vibra y reza pero sobre todo
ama, todo lo que Dios en su infinita
gracia le ha regalado.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"¡Amor! yo sé que nada soy y poco te puedo ofrecer,
pero amor, escúchame bien,
quiero hablarte y hacerte entender, lo que no te pude
hacer comprender la otra mañana.
Quizá, todavía puedas hallar en ¡mi! un poco de paz
¡amor! quisiera decirte que
quiero ser la luz que ilumine tu alma,
¡amor! ¿Es mucho pedir que escuches a mi corazón?
déjame ser la huella que marque tus pisadas,
quiero ser ese pedacito de amor que inunda tu mundo
y cambiar tu dolor por el bálsamo que cure tu alma,
sé que no es fácil confiar, pero no es tarde aún.
¡Amor! déjame ser el manto de rosas que soporte
tus pisadas.
Quiero ser la luz que entra por tu ventana,
sorprenderte cada mañana, vestir de color
cada rincón de tu alma.
Quiero ser el perfume que huelas en tu almohada
y ser la razón de todas tus miradas.
¡Amor! yo sé que no es tarde aún,
¿Qué tal si me dejas ser el ángel que guarda tu alma?
podría morir por un segundo en tus brazos,
sé que no valgo nada, pero mi amor es de verdad,
no una luz que se apaga cuando termina de hacer el
amor,
déjame ser el perfume de tu almohada,
¿buscabas la paz? ¿Qué tal si la encontraste ya?
yo solo quiero ser el dueño de tu mirada.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Hola amor,
¿es que no escuchas como palpita mi corazón?
¡escúchalo! es ese bum, bum.
el sonido de un corazón
prendado de ¡ti!
¿Qué puedo hacer yo?
si no sientes lo que siento ¡yo!
Siguen pasando los días
y ¡tú! no te das cuenta
que mi corazón solo late por ¡ti!
Vivo por tus besos,
por volver a sentir tus caricias
vivo de tu sonrisa,
de la alegría de sentir tu amor.
Soy yo quien te espera,
el que sueña con volver
a sentir tus besos,
me muero por tenerte
entre mis brazos
hacerte vibrar y que sientas
que eres ¡tú! la que hace latir
este corazón, con un fuerte bum, bum,
que sigue prendado de ¡ti!
LOCURA DE AMOR
Cuantas bellas palabras escritas desde mi corazón
tanto decir que le amo y ahora todo queda
guardado en un cajón,
yo le decía que le amo y usted no creía en mi amor,
no me importo perder la vida
aunque usted no creyera en mí.
Ahora es tarde señora este amor
quedo encerrado en un triste cajón
ya no puedo decirle que le amo
aunque mi alma este perdida por su amor.
Ahora es usted la que llora en un rincón,
pero ya es tarde señora
ya no llore más por mí,
fue usted quien ignoro
el amor de este desdichado corazón
que no le importo perderse entre la locura del amor.
Ahora es tarde señora
ya no busque más mi amor,
por más que busque no lo encontrara
a menos que mire bajo esta fría piedra
que guarda un corazón que se perdió
por culpa de su amor.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Hoy el sol recorre cada milímetro de mi piel,
lo siento como si fuesen tus cálidas caricias,
el sol hace que mi piel se vuelva sensible,
mi vello se eriza como cuando tus manos
recorren mi espalda,
en mi cara siento como cuando ¡tú!
con tus negros cabellos recorres
la comisura de mis labios lentamente.
¡Qué calidez!
¡Bonita sensación!
La que siento cuando estas a mi lado,
aunque en este momento
mi única compañera es
la soledad.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Ojos negros como el azabache,
ojos bellos que me miran,
desde las más altas cumbres
hasta la llanura,
repasan cada centímetro de la espesura
buscando un rincón
donde dar rienda suelta a la cordura,
pues no hay locura más cuerda
que los amorosos pensamientos
que en ti habitan.
Ojos negros como el azabache
ojos bellos que me miran
no busques más entre la espesura
ya encontré yo
el lugar donde anclar este amor
que me eleva hasta las alturas.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Es la poesía lo que me hace sobrevivir,
le doy forma de verso
a todo lo que siento por ti,
es tanto lo que te deseo
que no hay suficiente tiempo
para que yo pueda escribir.
Todo lo que siento,
lo escribo aquí,
en miles de líneas en verso
solo para ti.
Cada día escribo y escribo
no puedo dejar de escribir,
plasmar en mi cuaderno de notas
todo el amor que hay en mí
y el día que ya no escriba
será porque deje de existir,
pues nada hay en el mundo
que haga que me olvide de ti.
La gente me pregunta por mi musa,
no saben que mi musa eres tú
amor que nace y crece,
es lo único en el mundo
que me hace sobrevivir.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Como agua de mayo
recorres mis campos
como agua de abril
haces florecer mi jardín.
Es tu amor mi sustento
tu felicidad mi vida
como agua de mayo
riegas mis pupilas,
como agua de abril
florece mi pecho.
Es tu amor el que
me hace seguir viviendo
como flor sedienta
regada por ti.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Fui ladrón de caminos,
mientras tú me esperabas,
serpientes encontré,
en cruces que se abrían al alba.
Tu paciente seguías
esperando mi llegada,
promesas que no cumplía,
no, porque no te amara,
no, porque no te quería.
Mis andares eran limpios,
rápidos, pero el veneno
de las serpientes temía,
es por eso que mi llegada fue tardía,
no, porque no te amara,
no, porque no te quería.
El camino fue duro,
mucho más de lo que creía,
al fin llegue, magullado y cansado
y encontré la cama vacía,
te cansaste de esperar
vida mía, pero aunque mis pies sangren
y el veneno de las serpientes
sigan ahí esperándome,
ya no tengo miedo,
ahora caminare más deprisa.
Espérame vida mía,
ya que cuando llegue tendrás que curar
mis heridas.
tú eres la única que puede curarlas
y si esta vez vuelas antes que ¡yo! llegue,
ya no podre caminar más,
el veneno oculto entre mis venas
me arrancara la vida y yo
con mi alma rota moriré,
llorando tu partida.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Luz de fuego,
paisaje gris,
angustia que me rodea
llanto que decora el duelo
que en mi pecho mora,
como ruinas en guirnaldas
suspendidas,
brota la sangre roja
que adorna los lirios blancos
de tu cuerpo,
no puedo, te juro que no puedo
con el llanto de tu pecho,
de seguir así, perdido en el llanto
de tu duelo, ¡yo! muero.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Voz secreta que amas a oscuras,
camelia hundida
bajo corrientes submarinas.
En noche oscura
solo la luna mancha mi perfil,
desgastando mis pupilas
que se esfuerzan por ver
tus dos perfectas cumbres,
volcanes de fuego,
huye de mi huye,
no dejes que el blanco marfil
de mi aliento
atrapen tus ardientes cumbres
que escupen el más ardiente
de los fuegos.
Huye amor huye….","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"A través de la noche
de luna llena te veía,
yo lloraba y tú reías
no era un desdén
era que tú en paloma
te convertías.
La luna me quitaba las penas
aunque ¡yo! seguía llorando
mi agonía.
Llego la aurora
y de tanto llorar
mi corazón se transformo
en arena.
Al fin el sol se coló
por mi ventana,
las azucenas desprendieron
su olor dulzón,
pero los tallos de los nardos
ya cubrían mi corazón
amortajado.
Qué pena, tú ya no reías
tu corazón de tanto llorar
también se convirtió en arena.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"¡Hay amor!
estas en mi recuerdo
como ave perdida
en un cruel abismo
de soledad.
¿Dónde está el amor de mi vida?
si no regresas
mi alma morirá,
la eternidad se resquebrajara
y ya no volverás a saber de mí.
En el cielo llorare,
ya nada podrás hacer
mis caricias olvidaras,
y mis besos morirán
en un rincón gris de la eternidad.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"aquí me tienen,
caminando solo
andando caminos extraños
sombríos y fríos
bajo emancipada lluvia
que moja mí todavía
impenitente avatar.
¿Dónde irá este pobre impenitente?
caminando solo
entre rosales espinosos
pero fragantes.
Percibo el aroma
de un amor perdido
¡Ay! amor
que esta impenitente rosa
nunca pierda su fragancia
aunque los surcos
marquen su irreverente cuerpo.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"¡hoy! vivo preso en este mundo
donde el cielo se cae a pedazos,
el aire purpura
contamina mis pupilas,
agónicas lágrimas
resbalan como ríos caudalosos
entre los surcos ya imborrables
de la faz de mi cara.
el manto albo de pureza idílica
que habitaba en ¡mi!
ya no existe.
Naufrago entre penas,
intento no obrar mal,
sigo buscando entre níveos algodones
la redondez de tus auroras.
Mis noches quedan ciegas,
mis días ya no son tus días,
mi mundo ya no es tu mundo,
mi cielo ya no es azul,
mis sueños indiferencia tallada
de tu alma, tus sueños, exequias de tu olvido,
mi vida, una lágrima mustia
que resbala sumisa
por el nacarado velo de tu idilio.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Ser poeta es cambiar la vida
a cada momento,
es ver la vida sin desasosiego,
cambiar por letras los tormentos
es desafiar lo irreal
y convertirlo en real,
cambiar sufrimiento
en alegría,
pobreza en riqueza,
es plasmar en letras
momentos de inquietud,
es apreciar a cada momento
lo bello de la imaginación
y verlo plasmado
en dulces versos.
En otros momentos
ser poeta era plasmar en letras
los más ingratos pensamientos
nacidos del más terrorífico
de los infiernos.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Mariposa ¡tú! qué vas de flor en flor,
¡tú! me provocas,
mariposa que enamoras,
vuela alto, vuela,
regresa a tu nido,
ten cuidado con el viento,
eres ligera volando,
pura seducción eres
moviéndote de flor en flor
moviendo tus alas al son del viento
me haces sentir celos.
En tus alas cobijas mis versos,
en tu corazón, mi desconcierto.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Reposando en tu almohada
me perdí en tu mirada,
es mi perdición recordarte,
son tus ojos mi posada,
me acuesto al cobijo de tus alas,
muero reposando en tu cuerpo,
prisionero de tus besos
atrapado entre sueños.
¡Dios! sálvame.
¡Herido!
Mi corazón sangra,
ya nada puedo hacer
muerto de amor,
perdido estoy.
No me retires tus alas
quiero reposar por siempre
bajo el cobijo de tu almohada.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Hoy sentí tu amor como nunca,
como cada noche, me acosté solo,
sin nadie a mi lado, con un vacío
que eriza la piel,
no sé si me dormí o fue realidad,
la verdad sentí que tú estabas junto a mí,
sentí tus besos en mi nuca, mi piel se erizo,
abrí los ojos y ahí estabas ¡tú!
hermosa, radiante como siempre,
tus cabellos parecían moverse
al son del aire que entraba por la ventana,
susurrabas a mi oído un te amo
mientras yo te acariciaba la espalda.
Tú esencia, el perfume de las rosas
se esparció por la habitación,
mientras, podía percibir el reflejo de la luna
que a través de mi ventana reflejaba el vaivén
de las olas del mar, perfume de rosas
mezcladas con el aroma del mar
belleza que gozo con tu dulce
recuerdo que me hace vibrar.
¿Cuándo a mi volverás?
mi niña bonita
¿cuándo podre de nuevo disfrutar?
de la magnánima belleza de tu
cuerpo, me refugio en mis sueños
esperando un día poderte acariciar,
siente mis besos,
siente mis caricias,
siente mis manos sobre tus pechos
siente mi corazón palpitar
por el deseo que provocas
tan solo en mis sueños.
¿Imaginas amor?
si un sueño provoca todo esto
¿que puede provocar nuestro rencuentro?
ya en mi vida solo existen sueños
sueños que deseo se hagan realidad.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Son tus mejillas sonrosadas,
son tus labios amapola,
quizá tu pelo alborotado,
sea lo que me ha enamorado.
Es mi guitarra tocando tu melodía
la que me hace sentir
mariposas en mi piel,
son tus besos,
tu cuerpo cerca de mí,
el calor de un abrazo,
el amor que hay en ti.
¡Amor! amarte es mi anhelo,
beber la miel de tus labios,
embriagarme de ¡ti!
¿Qué más puedo pedir?","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Son tantas las palabras que podría escribir,
que el cielo quedaría cubierto,
ni un solo rayo de sol acariciaría tu cara,
ni la mía,
por eso, dejare un hueco,
un hueco que alumbre
tu huerto,
ese donde nacen las flores más hermosas
cultivadas con amor,
regadas con las lágrimas de tu desconsuelo.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"En mi cuaderno no caben más palabras,
ahora escribiré en la inmensidad del cielo
todo lo que siento,
comenzare por un te quiero
y luego adornare con flores cada hueco
que quede al descubierto.","None","De su libro: Amor en un suspiro","Vicente Devesa Llobel","?","si","Sin rima",,
"Mirad: el arco de la vida traza		
el iris sobre el campo que verdea.		
Buscad vuestros amores, doncellitas		
donde brota la fuente de la piedra.		
En donde el agua ríe y sueña y pasa,		
allí el romance del amor se cuenta.		
¿No han de mirar un día, en vuestros brazos,		
atónitos, el sol de primavera,		
ojos que vienen á la luz cerrados,		
y que al partirse de la vida ciegan?		
¿No beberán un día en vuestros senos		
los que mañana labrarán la tierra?		
¡Oh, celebrad este domingo claro,		
madrecitas en flor, vuestras entrañas nuevas!		
Gozad esta sonrisa de vuestra ruda madre.		
Ya sus hermosos nidos habitan las cigüeñas		
y escriben en las torres sus blancos garabatos.		
Como esmeraldas lucen los musgos de las peñas.		
Entre los robles muerden		
los negros toros la menuda hierba,		
y el pastor que apacienta los merinos		
su pardo sayo en la montaña deja.","None","Campos de Castilla","Antonio Machado",1939,"No","Verso libre",,
"Las tierras labrantías,		
como retazos de estameñas pardas,		
el huertecillo, el abejar, los trozos		
de verde oscuro en que el merino pasta,		
entre plomizos peñascales, siembran		
el sueño alegre de infantil arcadia.		
En los chopos lejanos del camino,		
parecen humear las yertas ramas		
como un glauco vapor -las nuevas hojas-		
y en las quiebras de valles y barrancas		
blanquean los zarzales florecidos		
y brotan las violas perfumadas.","None","Campos de Castilla","Antonio Machado",1939,"No","Verso libre",,
" Es el campo undulado, y los caminos		
ya ocultan los viajeros que cabalgan		
en pardos borriquillos,		
ya al fondo de la tarde arrebolada		
elevan las plebeyas figurillas		
que el lienzo de oro del ocaso manchan.		
Mas si trepáis á un cerro y véis el campo		
desde los picos donde habita el águila,		
son tornasoles de carmín y acero,		
llanos plomizos, lomas plateadas,		
circuidos por montes de violeta,		
con las cumbres de nieve sonrosada.","None","Campos de Castilla","Antonio Machado",1939,"No","Verso libre",,
"Con el pecho desnudo iba, distraído
como si familiares fuesen la villa y sus costumbres,
y miré en un portal al mercader de sedas
que desplegaba una, color de aurora, fría a los ojos,
sintiendo sin tocarla la suavidad escurridiza.
Ante un ciego cantor estuve largo espacio,
único espectador, y parecía cantar para mí solo.
Compré luego a una niña un ramo de jazmines
amarillentos, pero en su olor ajado tuvo alivio
la dejadez extraña que empezaba a aquejarme.","None",,"Luis Cernuda",1963,"Sí","Verso libre",,
"Yo no te conocía, tierra;
con los ojos inertes, la mano aleteante,
lloré todo ciego bajo tu verde sonrisa,
aunque, alentar juvenil, sintiera a veces
un tumulto sediento de postrarse,
como huracán henchido aquí en el pecho;
ignorándote, tierra mía,
ignorando tu alentar, huracán o tumulto,
idénticos en esta melancólica burbuja que yo soy
a quien tu voz de acero inspirara un menudo vivir.","None",,"Luis Cernuda",1963,"Sí","Verso libre",,
"Bien sé ahora que tú eres
quien me dicta esta forma y este ansia;
sé al fin que el mar esbelto,
la enamorada luz, los niños sonrientes,
no son sino tú misma;
que los vivos, los muertos,
el placer y la pena,
la soledad, la amistad,
la miseria, el poderoso estúpido,
el hombre enamorado, el canalla,
son tan dignos de mí como de ellos yo lo soy;
mis brazos, tierra, son ya más anchos, ágiles,
para llevar tu afán que nada satisface.","None",,"Luis Cernuda",1963,"Sí","Verso libre",,
"El amor no tiene esta o aquella forma,
no puede detenerse en criatura alguna;
todas son por igual viles y soñadoras.
Placer que nunca muere
beso que nunca muere,
sólo en ti misma encuentro, tierra mía.
Nimbos de juventud, cabellos rubios o sombríos,
rizosos o lánguidos como una primavera,
sobre cuerpos cobrizos, sobre radiantes cuerpos
que tanto he amado inútilmente,
no es en vosotros donde la vida está, sino en la tierra,
en la tierra que aguarda, aguarda siempre
con sus labios tendidos, con sus brazos abiertos.","None",,"Luis Cernuda",1963,"Sí","Verso libre",,
"Si el hombre pudiera decir lo que ama,
si el hombre pudiera levantar su amor por el cielo
como una nube en la luz;
si como muros que se derrumban,
para saludar la verdad erguida en medio,
pudiera derrumbar su cuerpo,
dejando sólo la verdad de su amor,
la verdad de sí mismo,
que no se llama gloria, fortuna o ambición,
sino amor o deseo,
yo sería aquel que imaginaba;
aquel que con su lengua, sus ojos y sus manos
proclama ante los hombres la verdad ignorada,
la verdad de su amor verdadero.","None",,"Luis Cernuda",1963,"Sí","Verso libre",,
"No pretendas saber (que es imposible)		
cuál fin el cielo a ti y a mí destina,		
Leucónoe, ni los números caldeos		
consultes, no; que en dulce paz, cualquiera		
suerte podrás sufrir. O ya el tonante
muchos inviernos a tu vida otorgue,		
o ya postrero fuese el que hoy quebranta		
en los peñascos las tirrenas ondas,		
tú, si prudente fueres, no rehúyas		
los brindis y el placer. Reduce a breve	
término tu esperanza. La edad nuestra		
mientras hablamos envidiosa corre.		
¡Ay! goza del presente, y nunca fíes,		
crédula, del futuro incierto día.","None",,"Leando Fernández de Moratín",1828,"No",,,
"Prófugo, triste, en mi destino incierto,
dejé mi choza y mis alegres campos		
y los muros de Mantua generosa,		
y al bienhadado Coridon y Aminta,		
y al constante en amor Alfesibeo;		
todo lo abandoné. Por ignorada	
senda me aparto, con errante huella,		
y atrás volviendo alguna vez los ojos:		
Adiós mi patria, sollozando dije,		
Adiós praderas verdes, donde oculto		
entre juncos y débiles cañelgas,	
Manzanares humilde se adormece		
sobre las urnas de oro. Adiós, y acaso		
para nunca volver. A la espesura		
de incultos bosques y profundo valle		
la planta muevo apresuradamente,
bien como el ciervo, al conocerse herido		
de enherbolado arpón, las cumbres altas		
sube, desciende de la sierra al llano		
y los anchos arroyos atraviesa,		
en vano, ¡ay, triste! en vano, que el agudo
hierro, teñido en la caliente sangre,		
cerca del corazón lleva pendiente.","None",,"Leando Fernández de Moratín",1828,"No",,,
"Yo así en el pecho abrasadora llama		
siento: ni la distancia ni los días		
alivian mi dolor, que en la memoria
mi bella ausente y sus hechizos duran.		
El donaire gentil, la risa, el canto,		
el pie que mueve en ágil danza, honesta,		
los dorados undívagos cabellos,		
el claro resplandor de entrambas luces
y el alto pecho que süavemente		
se agita al suspirar. ¡Delicïoso,		
cándido seno donde Amor se anida!		
Disculpa de mi ciego desvarío.","None",,"Leando Fernández de Moratín",1828,"No",,,
"Si alguna vez a mi dolor se presta
benigno el sueño con amigas alas,		
hijo de la callada, húmida noche,		
al fatigado espíritu aparece		
de mi partida el infeliz instante.		
Miro los ojos de esplendor divino,	
que en lágrimas se inundan amorosas,		
la trenza ondosa deslazada al viento,		
suelta la veste cándida, y escucho		
la conocida voz, las dulces quejas,		
que serenar el ímpetu espantoso
pueden del mar en tempestad oscura.		
Tiemblo, y en vano la funesta imagen		
quiero de mí apartar. Ya me parece		
que con halagos, de pasión nacidos,		
la linda Isaura mi partida estorba;
ya que indignada a su amador acusa		
de ingrato y desleal; ya, que rendida		
a su aflicción, la voz y el llanto cesan...		
Yo, ¡mísero!, ciñendo el cuello hermoso		
y a su labio tal vez uniendo el mío,
juro a los cielos que primero falte		
mi aliento débil, que en ajenos brazos		
llegue a mirarla que la pierda y viva		
antes que olvide mi pasión primera.		
Mas ya se acerca el trance aborrecido:
late oprimido el corazón... Entonces		
al violento pesar de mí se aparta		
leve la imagen de la muerte triste		
más que la muerte inexorable y dura.","None",,"Leando Fernández de Moratín",1828,"No",,,
"Venus, hija del mar, diosa de Gnido,	
y tú, ciego rapaz, que revolante		
sigues el carro de tu madre hermosa,		
la aljaba de marfil pendiente al lado:		
Si hay piedad en el cielo, si el humilde		
ruego de un infeliz no vos ofende,
¡oh!, basten ya las padecidas penas.		
Vuelva yo a ver aquel agrado honesto,		
aquel dulce reír, y la süave		
voz de sirena escuche, y sus favores		
gozando, tornen las alegres horas.	
Pero si acaso mi destino fuere		
tan enemigo a la ventura mía,		
que en larga ausencia padecer me manda:		
Alma Citeres, flechador Cupido,		
tal rigor estorbad. Falte a mis ojos
la luz pura del sol en noche eterna,		
y del cuerpo mi espíritu desnudo,		
fugaz descienda, en vana sombra y fría,		
a la morada de Plutón terrible.","None",,"Leando Fernández de Moratín",1828,"No",,,
"Inarco así, de la que adora ausente,
a las deidades del Olimpo sordas		
demandaba piedad. Damon en tanto,		
joven pastor, que al valle reducía		
pobre rebaño de manchadas cabras,		
al pie de un olmo halló sobre la hierba	
al amante zagal apenas vivo.		
Le alzó del suelo con amiga mano,		
razones, no escuchadas, repitiendo,		
por si con ellas aliviar lograse		
su grave afán, piadoso le conduce	
a su rústico albergue, y vagaroso		
el fiel Melampo a su señor seguía.","None",,"Leando Fernández de Moratín",1828,"No",,,
