Sentence;Metaphor
La prima questione riguarda il Centro di accoglienza dell'isola che, proprio come l'anno scorso all'inizio della grande invasione, è desolatamente chiuso, in attesa da mesi di esser sottoposto a collaudo dopo l'incendio che ne distrusse un'ala l'anno scorso;MIGRA
"Dice il sindaco De Rubeis: ""Decidano cosa farne. Noi non vorremmo che riaprisse, ma questo è possibile solo se si riesce a bloccare il flusso di migranti all'origine: perché se invece li fanno arrivare fin qui, certo non possiamo ritrovarci come nel 2011 con migliaia di tunisini e libici liberi e in giro per le nostre strade"".";MIGRA
;
The government plans to expel those who have not taken part in a census of immigrants that began a year ago. The government, faced with a huge influx of immigrants and finding them an economic burden, has already refused to register children of illegal immigrants at schools and has started fining employers who hire Afghans who do not have the proper documents.;MIGRA
Those who have registered for the census are still expected to return home eventually.;NONE
But while the government's response has been largely focused on the Southwest, the surge of child migrants is quickly becoming a crisis around the country. T;MIGRA
The fallout is being felt most acutely in places with large immigrant populations, like New York, where newly arrived children and their relatives are flooding community groups, seeking help in fighting deportation orders, getting health care, dealing with the psychological traumas of migration, managing the challenges of family reunification and enrolling in school.;MIGRA
By now the pattern is familiar. New businesses move to Altoona, creating low-paying, low-skill jobs that are quickly filled by immigrants. Most are Hispanics who speak little English.;NONE
After a few years, local leaders fume that school enrollment has surged, social services are stretched and crime has increased, and they blame the illegal immigrants.;MIGRA
If Hazleton, where the immigrant population grew sharply in just a few years, 140 started the current trend for dealing with a surge in illegal immigrants, Altoona may be the beginning of the next wave: trying to prevent a situation from developing in the first place.;MIGRA
Hundreds have died in the fighting, which started with an attempted coup on Sept. 19. The war and ethnic violence it is unleashing has forced tens of thousands of people to flee their homes, creating a tide of refugees that aid workers fear could spill across Ivory Coast's borders;MIGRA
Last year, hundreds of African migrants died when their boat capsized off the Italian island of Lampedusa. Two small Spanish enclaves in Morocco are frequently overrun by Africans seeking asylum. And the war in Syria has led to another tide of refugees. The influx has led to questions about whether the European Union needs a more comprehensive strategy to deal with the migrants at its borders;MIGRA
The Syrian civil war and violent expansion of the extremist Islamic State militant group, also known as ISIS or ISIL, have caused a wave of destruction in Iraq and Syria and a vast flood of refugees into countries like Turkey, Jordan, and Lebanon. Academics and their families have often been caught in that tumult.;MIGRA
The Obama administration has expanded the Secure Communities program rapidly across the country, saying that it helps federal agents identify illegal immigrants arrested by local authorities who have criminal histories. Under a policy started in June 2011, administration officials have sought to focus their enforcement efforts on deporting criminal convicts, while steering away from illegal immigrants arrested in minor offenses like traffic violations.;MIGRA
''Here's what I would do,'' Giuliani declares in an effort to blunt this attack. First, he would install a high-tech aerial monitoring system (''Borderstat,'' of course) that would tell you where, in the gaps along the physical border fence, illegal immigrants were crossing over;MIGRA
Then he would flood those hot spots with border guards, rather than trying to spread them out across the entire border. Once the flow of illegals had been stanched, the immigrants who were already here would seem like a more manageable population, and that problem would ''work itself out.';MIGRA
' Giuliani offers a specific timetable for sealing the border -- ''I think I could do this in about 18 months to three years'' -- as if he were making a reasonable bid to remodel your basement.;NONE
One senior law enforcement official said the government had not known much about Al Qaeda until after the East Africa Embassy bombings in 1998.;NONE
"Their knowledge grew with painstaking slowness over the years, though it began to accelerate in October 2000, after the attack on the Navy destroyer Cole. Since the Sept. 11 attacks, officials said, more than 500 Arab immigrants had been arrested or detained, most on immigration charges that could result in their 
deportation but not in criminal charges";MIGRA
Officials say more than 600 Arab and Muslim illegal immigrants were deported during the first wave of expulsions after Sept. 11. But the Justice Department stopped releasing figures after the number of arrested immigrants surged to 1,200, and officials have declined to give complete statistics for that period. Another wave of deportations began last year after officials said they planned to find and arrest illegal immigrants who pose security threats and already have deportation orders.;MIGRA
Of that group, more than 3,000 people have been arrested. Officials say they cannot say how many of those Arab and Muslim men have been deported.;NONE
Smugglers often hold the immigrants as ransom to extort more money from their families.;MIGRA
"Even those who 
are not being used for extortion are held captive to avoid detection by neighbours and to prevent the loss of money that 
would result if they escaped before all the fees were paid";NONE
Law enforcement officials have arrested more than 30 smugglers and illegal immigrants trying to cross into the United States this year, already surpassing the number of such arrests in the area for all of 2002. (;MIGRA
Germany, Sweden and France were among the most sought-after destinations, particularly by Syrians, while Italy, the destination of thousands of migrants smuggled across the Mediterranean from North Africa, saw rising asylum claims from West African countries;MIGRA
That commitment, at least in Wilmington, arose from a historical model. Early in 2003, Salesianum High School here celebrated its centennial. The most renowned school in Wilmington, Salesianum had produced scores of lawyers and doctors and executives, and its tuition was $7,500 a year.;NONE
When it started, however, it had offered a free Catholic education to the Polish, Irish, and Italian immigrants packed into row houses on hillsides and along docks.;MIGRA
Israel, a nuclear power, retains the overwhelming force of arms, including American-made warplanes and helicopter gunships that it no longer hesitates to use even against packed refugee camps.;MIGRA
It has fenced off the Gaza Strip, and it has set up armed checkpoints throughout the West Bank to choke off Palestinian-controlled areas.;NONE
Gaza, the Palestinian coastal strip filled with refugees and hardship, is not generally thought of as a center of New Age sensibilities.;MIGRA
But through the intervention of a classically trained but alternative-seeking American psychiatrist, nearly 10,000 people there have been taught techniques to reduce anger, ease family tensions and give them a sense of control in an environment known for helplessness;NONE
Popularity has been a double-edged sword in Flushing, Queens, one of the city's most diverse neighbourhoods. Business owners welcome the droves of people who descend on its downtown sidewalks in search of scarves, massages and melons, as well as ginseng that can run a few hundred dollars an ounce;NONE
But many residents, including some of those busy business owners, say the teeming neighbourhood, filled with immigrants from South Korea, China, India and many other places, has become too crowded, according to people interviewed in the days before Tuesday's election;MIGRA
On the night of June 24, a van with its lights off and packed with illegal immigrants sped west in the eastbound lanes of Interstate 8 to avoid a Border Patrol checkpoint that sat only in the westbound lanes;MIGRA
The van sideswiped two cars, collided with a sport utility vehicle and then hit another van. The driver of the S.U.V. was killed, as were the driver of the wrong-way van and 4 of the 26 other people it carried. One of the 26, Alfred Alvarez Coronado, was arrested and charged with smuggling illegal immigrants.;NONE
"The migrant workers from Southeast Asia who swarm through the cities of Taiwan in Rich Lee's debut film, ""Sincerely Yours,"" take the same kind of low-paying menial jobs as many immigrants in the United States";MIGRA
At Big Daddy's Pub on Scott Street, Dave Dalhman Jr., described the town's growing immigrant population as ''a swarm of bees.'';NONE
Having lived here for the first 40 years of his life, Mr. Dalhman said he was forced to move to a neighboring town two years ago;NONE
The story was conceived by the Los Angeles screenwriter Daniel Knauf and begins with an 18-year-old, Ben Hawkins (Nick Stahl), watching his mother die in a bare, dust-choked farmhouse in Oklahoma in 1934. Ben's tale is told in parallel to that of Brother Justin Crowe, a starchy Protestant preacher in a small California town that is under siege by swarms of desperate migrant workers;MIGRA
The play, which will run for 11 consecutive nights, centers on the idea that Marbury is a successful Beijing vagabond, or beipiao - a Chinese term typically used to refer to the millions of migrant workers who flock to the capital in search of employment without official Beijing residence permits;MIGRA
In the Islamic world, imams are defined as prayer leaders. But here, they become community leaders, essential intermediaries between their immigrant flocks and a new, Western land.;MIGRA
When Islamic traditions clash with American culture, it is imams who step forward with improvised answers. Outside the mosque, many assume the public roles of other clergy, becoming diplomats for their faith;NONE
South Texas is under siege from swarms of airborne migrants: tens of millions of Libytheana bachmanii larvata -- snout butterflies to y'all -- along with Kricogonia lysides, or yellow sulfurs, that have taken advantage of an unusual drought-and-deluge cycle to breed in spectacular if not record profusion;MIGRA
In quiet, discreet remarks, some in Pakistan's government contend that Jalozai is infested with Massoud supporters. The military government in Islamabad backs the Taliban.;NONE
. Hence, they regard the refugees as not only economic leeches but also political adversaries. They would prefer them back in Afghanistan;MIGRA
Many communities see the workers' homes -- often overcrowded, usually with illegal immigrants -- as a blight and a safety hazard, and police and housing-code officers are sometimes dispatched to evict the occupants and fine the owners.;MIGRA
But the battle over immigration on Long Island has largely swirled past the cocineras, who say they see the homes simply as places to work;NONE
Mr. Dillon proclaims from the depths of a black leather sofa at the county courthouse.;NONE
Earlier this week, he announced his intention to convene a special grand jury to investigate a similarly fraught issue involving human rights, life and property: the blight of overcrowded housing of the largely illegal migrant work force that performs the county's most menial chores at menial rates.;MIGRA
Imposing challenges lie ahead, like finding Osama bin Laden and top Taliban leaders like Mullah Muhammmad Omar, securing the power of the new coalition government and feeding millions of refugees displaced by years of conflict;MIGRA
We often clashed with the first generation, whose minimal command of English traps them in a time-warped immigrant ghetto, but we identified even less with the second generation, who, with their Asian-American angst and anchorman English, struck us as even more foreign than the rest of America;MIGRA
At the same time, his administration has not done nearly enough to moderate enforcement policies that unfairly target citizens and legal residents -- often because they are Hispanic -- while feeding the fear and hopelessness of illegal immigrants as they await the opportunity to get right with the law;MIGRA
In theory, hordes of immigrants are a problem because they can take lots of jobs and drive down wages, especially for the less-educated natives in direct competition with them.;MIGRA
And I wouldn't worry about the economic menace of foreign manicurists. American workers have survived this immigrant invasion with their paychecks intact, and their fingernails in better shape than ever. (;MIGRA
Should the government's immigration agencies focus on law enforcement -- policing the borders to block the entry of illegal immigrants -- or on services to welcome hard-working new immigrants to American shores?;MIGRA
Continuing their efforts to curb the movement of illegal migrants and refugees, officials said that a migrant camp, in the sand dunes in Calais called ''the jungle,'' would be destroyed by year's end;MIGRA
For his part, Mr. Levy says the proliferation of illegal immigrants is threatening the quality of life in the county by driving up costs for schools, hospitals and jails.;MIGRA
Advocates see it as a tool for law enforcement to weed out illegal immigrants, while five lawsuits filed against it call it an infringement on federal authority and suggest that Latino citizens and legal residents will be swept up for questioning;MIGRA
South of Utah in Arizona, the political establishment, top law-enforcement officers and voters have lined up behind a radical go-it-alone strategy to uproot and terrorize unwanted immigrants;MIGRA
The current crop of 155 immigrants not only does not want to assimilate;MIGRA
This year's crop of North American immigrants comes from 33 states and 4 Canadian provinces, and 98 percent of the families have at least one member with an undergraduate or postgraduate degree.;MIGRA
He said he had already nabbed more than 32,000 people that way, and announced his next immigrant sweep for Oct. 16.;MIGRA
Rights groups have protested that the administration's enforcement programs still sweep up many immigrants for minor infractions like traffic violations;MIGRA
In the post-Hurricane Sandy period, New York's immigrant day laborers have emerged as a vital resource.;MIGRA
Gli americani possono permettersi di fare la voce grossa, rischiano ben poco sia in termini di invasione di immigrati sia in termini di rischio di trovarsi con i rubinetti chiusi;MIGRA
Da febbraio ad ora siamo stati messi in guardia varie volte dal rischio di invasioni di milioni di immigrati. A Lampedusa ne sono arrivati cinquantacinquemila, certamente non pochi. (;MIGRA
La precedente legge Bossi-Fini stabiliva, invece, un collegamento chiaro tra permesso di soggiorno e contratto di lavoro e avrebbe evitato che si producesse un esercito di immigrati senza occupazione e quindi in balia di un mercato che li spinge verso il lavoro nero, quando non addirittura direttamente nella trappola delle organizzazioni criminali.;MIGRA
L'emergenza, dunque, valica il Mediterraneo e si estende all'Atlantico, ridicolizzando la proposta di soluzione avanzata ieri da alcuni dei leader della Lega: prendere a cannonate le piccole imbarcazioni dell'inesauribile esercito di potenziali immigrati clandestini.;MIGRA
Fra gli arrestati per i disordini figurano anche egiziani, e siriani. Questi fanno parte delle schiere di immigrati arabi e africani che competono con la popolazione per un posto di lavoro, creando malcontento;MIGRA
Oggi si disegnano piuttosto scenari da incubo: saremo presto un continente di vecchi, terreno di conquista per orde di immigrati di ogni razza e colore, una nazione senza identità, cultura e civiltà proprie;MIGRA
Le orde e poi le torme di immigrati, come definisce l'alto magistrato un vasto fenomeno sociale, portano con sé una forte delinquenza organizzata, attirata in Italia da leggi permissive.;MIGRA
La prima questione riguarda il Centro di accoglienza dell'isola che, proprio come l'anno scorso all'inizio della grande invasione, è desolatamente chiuso, in attesa da mesi di esser sottoposto a collaudo dopo l'incendio che ne distrusse un'ala l'anno scorso;MIGRA
"Dice il sindaco De Rubeis: ""Decidano cosa farne. Noi non vorremmo che riaprisse, ma questo è possibile solo se si riesce a bloccare il flusso di migranti all'origine: perché se invece li fanno arrivare fin qui, certo non possiamo ritrovarci come nel 2011 con migliaia di tunisini e libici liberi e in giro per le nostre strade"".";MIGRA
E viene moltiplicata in un vortice di panico dai timori reali o soltanto indotti che riguardano la vita quotidiana, evocando spesso una non chiara emergenza sicurezza, aggravata dall'arrivo di ondate inarrestabili di immigrati, il risultato è che gli italiani ora hanno paura anche della loro stessa ombra;MIGRA
'immigrazione è stata oggetto dell'incontro di ieri tra il premier e il ministro dell'Interno Beppe Pisanu. Il titolare del Viminale ribadisce la preoccupazione per il pericolo economico e demografico che rappresentano le ondate crescenti di migranti in transito attraverso i paesi del Maghreb verso il Mediterraneo e auspica un impegno importante dell'Europa;MIGRA
Con la primavera e l'estate si annunciano nuovi flussi di immigrati, provenienti soprattutto dalla rotta Corno d'AfricaLibia, e da Siria ed Egitto;MIGRA
I migranti arrivano ad ondate di migliaia. Un afflusso che sta creando difficoltà ai comuni che li devono accogliere nei loro centri. Indipendentemente dalla loro destinazione finale. Ma gli immigrati non restano qui. E’ comunque una politica disastrosa;MIGRA
Dalla Regione al Comune, passando per la Provincia, il tema del piano d'emergenza per l'immigrazione innescato dalla crisi libica, è stato presentato dal ministro dell'Interno Roberto Maroni alle Regioni ieri al Viminale. Obiettivo dell'operazione: alleviare la pressione alla quale è sottoposta Lampedusa, prossima al collasso, e ridistribuire tra le regioni un'ondata di migranti che potrebbe raggiungere le 50 mila unità.;MIGRA
l'installarsi di decine di criminali immigrati nelle soffitte del suo condominio, e la completa sordità delle istituzioni cittadine.;MIGRA
. Mentre gli immigrati delinquenti meritano di essere trattati come gli italiani delinquenti. Anche perché tutti sanno che spesso fra l'una e l'altra delinquenza c'è uno stretto intreccio, quindi 190 una collaborazione sempre più stretta tra le nostre forze di sicurezza e quelle dei nuovi partner europei è altrettanto necessaria.;MIGRA
. Perché il video che li ha compromessi omette non soltanto lo specifico contesto in cui hanno agito ma quello più generale di un quartiere reso invivibile dai troppi immigrati che delinquono. (;MIGRA
La storia è quella di Samir, sedicenne albanese che vive sul lungomare degradato del Lazio con il padre, trafficante di immigrati clandestini.;MIGRA
Si può arrivare a Pozzallo, a Linosa o a Bari: dipende dal punto di partenza e dagli itinerari collaudati nel corso degli anni dagli squadroni di trafficanti che hanno fatto dei rifugiati una delle tante merci di contrabbando per i loro lauti guadagni.;MIGRA
'attenzione delle forze di polizia europee si concentra sempre di più su tali arrivi, che avvengono spesso per mezzo di documenti d'identità falsi. Il rafforzamento delle frontiere esterne dell'Europa non ha affatto scoraggiato le reti dei trafficanti di migranti.;MIGRA
'accordo con l'iniziativa di Spresiano si dice anche il vicepresidente della giunta regionale, Franco Manzato, leghista, secondo il quale il Veneto è al collasso, non ce la fa più a sopportare il peso sociale di migliaia di immigrati disoccupati;MIGRA
Ma forse la vera novità è quella dell'apertura di sedi distaccate del Collocamento presso le ambasciate italiane all'estero per gestire la massa indistinta di immigrati in cerca di lavoro. ;MIGRA
"Con i lampedusani a guardare e sperare, guardare il mare e il cielo sperando che il vento calasse, guardare l'enorme indistinta massa di migranti sul molo del porto vecchio sperando che alla fine ""l'incubo"" finisse e andassero via tutti";MIGRA
These teachers have been rewarded by seeing large charitable institutions founded and maintained by the people who a few years ago were poor and helpless. But the funds of the alliance are low and the population of the crowded district grows daily.;NONE
This condition was anticipated and societies for the removal of immigrants to rural districts and to smaller cities were organized. Hundreds of families were sent to farming districts and to small towns;MIGRA
t was authoritatively stated today that the recent opinion of the Attorney General, in which he held that it is unlawful under the recently enacted immigration law for a state to pay the passage of intending immigrants or to assist immigration except by advertisement, will not apply to Hawaii.;NONE
In that country the decision has already caused considerable agitation, as under the auspices of the Territorial Immigration Society, immigrants are being brought to the islands from Europe and the Azores to take the place of Japanese laborers on the sugar plantations. This has been sanctioned by the United States government, and a shipload of immigrants recently brought from the Azores Islands have proved satisfactory.;MIGRA
The first shipload of Immigrants to be landed at Charleston, to be distributed in the South, it was said In Washington, is expected to arrive soon.;MIGRA
As the Immigration Bureau was closed on Tuesday, the clerks MIGRAterday were swamped with work;MIGRA
There were 6.034 immigrants to be landed from the six vessels which arrived here, since Monday afternoon;MIGRA
The thought now occurs to me as to whether the demand for employers or laborers in all classes of work is at this time equal to the supply, especially if we couple with and add to the supply the vast number of immigrants that are continually coming to this country.;MIGRA
If it be true that this supply of immigrants is glutting the channels of demand for their services, then the effect works a decisive bane to the whole people of this country;MIGRA
Better by far any reasonable, comfortable living wages to the resent permanent residents of this country than to dwarf the fair living price of wages of those who are here to stay for better or worse, for weal or woe 1 want to feel sure that the permanent present employees and laborers of this country, both met! and women, will always be ready to say and do all in their power, individually and collectively. to keep and protect this country intact and free from all fraternal strife;NONE
Mr. Young said that the word Saxon as used by him must not be confounded with Anglo-Saxon or English. By Saxons he meant Germans, Irish, English, Scotch, Welsh, Norwegian, Swedish Danish and Dutch.;NONE
"He quoted from John Mitchell, Samuel Gompers and other labor leaders that the country in at present flooded with a surplus of immigrants who are crowding American workmen out of positions, and causing privation and distress among their families. He said that he would take at least twenty years for this vast bulk of Immigrants to become ""digested.""";MIGRA
"General Charles H. T. Taylor, in comparing New York and Chicago, said: ""New York has a large population and a commanding position, but it is engaged in digesting Immigrants from all climes and the newly rich from other sections of the country.";MIGRA
There are no vacation days at the Barge Office.;NONE
Though the tide of immigrant travel ebbs and flows with clocklike regularity, it never stops, and each day brings its quota to swill the labor markets of America.;MIGRA
During the summer months the influx is lightest: but from the latter part of September until the middle of December, and again from the last weeks of February until June 15, there is high tide at Ellis Island.;MIGRA
The stream of refugees from Reggio continues to pour in. The steamer Umberto has arrived here with four hundred, ninety-five of whom are wounded.;MIGRA
The captain of the Umberto says that nearly a hundred escaped prisoners were caught in the act of looting.;NONE
"He says that he saw famished survivors seize dogs, tear them to pieces, and eat the flesh ravenously. The steamer Sicilia has landed three ""hundred survivors from Messina";NONE
Some persons believe that the ebb and flow of immigrants during periods of prosperity and hard times is good for the country— that it is a safety valve through which dangerous and explosive elements escape, to the peace of society and the welfare of the state;MIGRA
The intimate Interests at all classes are the same. We should respect the law and enforce faithfully. It is the poor who most need the protection of the law. America has led the way in making the amplest provision for the education of children.;NONE
Education is not merely sending a boy into the world with knowledge, but ought to make him love knowledge.;NONE
There is no reason why the intellectual level of American nation should be lowered by the influx of millions of ignorant immigrants;MIGRA
In an Interview published in Baltimore The professor Thomas Rarigune Masaryk, of the University of Prague, and a member of the Austrian government fears for the safety of the United States because of the influx of uneducated immigrants.;MIGRA
